interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
0.00,500.00,d2,0,,0,0,-135778367,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135778388,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604734,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604737,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604743,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604761,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604765#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604765#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604767#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604767#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604767#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604767#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-139604767#4,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140457653,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140592834,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140592838,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140592843,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140592855#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140592855#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140592855#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140592855#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140610873#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140610873#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140610873#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792770,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792772,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792774#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792774#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792776,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792778,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792779,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-140792811,0,0,0,,,0.00,,,
0.00,500.00,d2,0,4.69,0,6,-142286093#0,0,0,3,2.31,48.98,277.86,2.52,47.29,202.00
0.00,500.00,d2,0,37.98,0,6,-142286093#1,0,0,6,0.73,0.63,3.80,8.21,0.03,0.00
0.00,500.00,d2,0,5.37,0,4,-142286136#0,0,0,4,1.29,13.37,53.48,1.86,12.74,42.00
0.00,500.00,d2,1,1.01,1,5,-142286136#1,3,3,5,0.24,12.22,72.92,12.25,11.64,0.00
0.00,500.00,d2,0,7.06,1,11,-142286136#10,2,2,11,1.70,18.86,219.59,3.56,17.61,121.00
0.00,500.00,d2,0,1.94,0,11,-142286136#11,0,0,11,0.41,2.33,25.60,13.48,1.96,0.00
0.00,500.00,d2,1,2.16,0,12,-142286136#12,0,0,11,0.46,2.71,32.52,12.93,2.34,0.00
0.00,500.00,d2,0,2.33,0,11,-142286136#13,0,0,11,0.40,1.21,13.31,13.59,0.84,0.00
0.00,500.00,d2,0,1.96,0,12,-142286136#14,4,4,11,0.44,4.57,50.42,12.33,4.20,0.00
0.00,500.00,d2,0,11.12,0,12,-142286136#15,0,0,12,0.63,0.71,8.17,9.14,0.18,0.00
0.00,500.00,d2,0,34.28,0,4,-142286136#16,0,0,4,0.25,0.64,2.57,8.01,0.02,0.00
0.00,500.00,d2,0,0.92,0,5,-142286136#17,0,0,4,0.22,8.00,39.48,11.41,7.40,0.00
0.00,500.00,d2,0,0.82,0,5,-142286136#18,0,0,5,0.19,4.07,20.37,13.43,3.71,0.00
0.00,500.00,d2,0,1.26,0,6,-142286136#19,0,0,6,0.28,6.39,38.27,10.30,5.39,1.00
